"wt","d2_n2a","l1","sector_MS","n2a_d2","n2a","d2","exrate_d2","d2_orig","n2a_orig","prod"
5.00762524607814,150,5,"Manufacturing",0.00666666666666667,6e+05,9e+07,372.500882448711,9e+07,6e+05,0.0333841683071876
1.20532693313032,2.00347222222222,48,"Manufacturing",0.499133448873484,2.88e+08,5.77e+08,372.500882448711,5.77e+08,2.88e+08,0.601618989153437
4.62925643315859,36.8,30,"Manufacturing",0.0271739130434783,2500000,9.2e+07,372.500882448711,9.2e+07,2500000,0.125795011770614
5.70231645668633,6.29478260869565,16,"Manufacturing",0.158861721232214,11500000,72390000,372.500882448711,72390000,11500000,0.905879807319972
2.46003292655804,2.16666666666667,7,"Manufacturing",0.461538461538462,6e+06,1.3e+07,372.500882448711,1.3e+07,6e+06,1.13539981225756
2.77166966265717,19.6850393700787,30,"Manufacturing",0.0508,24892000,4.9e+08,372.500882448711,4.9e+08,24892000,0.140800818862984
1.20532693313032,8.3357801346704,20,"Manufacturing",0.119964776402963,34603000,288443000,372.500882448711,288443008,34603000,0.144596776025449
9.88218355113061,3.7037037037037,67,"Manufacturing",0.27,2.7e+07,1e+08,372.500882448711,1e+08,2.7e+07,2.66818955880526
5.70231645668633,2.1000875,100,"Manufacturing",0.47617063574732,8e+07,168007000,372.500882448711,168007008,8e+07,2.71527565241273
1,4.47368421052632,36,"Manufacturing",0.223529411764706,3800000,1.7e+07,372.500882448711,1.7e+07,3800000,0.223529411764706
5.70231645668633,2.6738420303208,13,"Manufacturing",0.373993672273909,11939000,31923000,372.500882448711,31923000,11939000,2.13263027210407
1.20532693313032,6,146,"Manufacturing",0.166666666666667,4e+07,2.4e+08,372.500882448711,2.4e+08,4e+07,0.200887822188387
5.70231645668633,13.7962962962963,45,"Manufacturing",0.0724832214765101,5.4e+07,7.45e+08,372.500882448711,7.45e+08,5.4e+07,0.413322266659143
1.20532693313032,0.833333333333333,5,"Manufacturing",1.2,3600000,3e+06,372.500882448711,3e+06,3600000,1.44639231975639
5.70231645668633,83.3333333333333,19,"Manufacturing",0.012,3e+06,2.5e+08,372.500882448711,2.5e+08,3e+06,0.0684277974802359
5.70231645668633,60,18,"Manufacturing",0.0166666666666667,2e+06,1.2e+08,372.500882448711,1.2e+08,2e+06,0.0950386076114388
2.46003292655804,114.285714285714,6,"Manufacturing",0.00875,7e+05,8e+07,372.500882448711,8e+07,7e+05,0.0215252881073829
5.00762524607814,33.3333333333333,8,"Manufacturing",0.03,1500000,5e+07,372.500882448711,5e+07,1500000,0.150228757382344
5.00762524607814,50,7,"Manufacturing",0.02,1e+06,5e+07,372.500882448711,5e+07,1e+06,0.100152504921563
